"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Oceans8 is now playing in the UK! Hope yall laugh as hard as I did!! . Grab yo tix and lemme know how you like it!… https://t.co/PvTCJeEUqy",FALSE,65221,NA,2018-06-18 17:04:25,TRUE,NA,"1008757337350426625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7971,FALSE,FALSE,NA,NA
"2","https://t.co/cCgUoZvFos is restocked!! where my savages at?! Go peep the latest <f0><U+009F><U+0091><U+0080> @savagexfenty https://t.co/G1kvbCKxlw",FALSE,18250,NA,2018-06-16 15:03:38,FALSE,NA,"1008002165993082882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2385,FALSE,FALSE,NA,NA
"3","drip drip. the new @fentyxpuma #surfslides are out now! https://t.co/ptA1gkI68y https://t.co/pSkQfFT9Cr",FALSE,15882,NA,2018-06-14 14:13:32,FALSE,NA,"1007264782846656512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",1765,FALSE,FALSE,NA,NA
"4","tried to tell y’all bout the God I serve!! won’t He do it tho?!
Congrats to all the ladies and the entire team that… https://t.co/bvSKOCQHQE",FALSE,47192,NA,2018-06-11 20:08:55,TRUE,NA,"1006267052934324224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7477,FALSE,FALSE,NA,NA
"5","London! @savagexfenty will be POPPIN’UP in Shoreditch for 5<f0><U+009F><U+00A4><U+009A><f0><U+009F><U+008F><U+00BF>DAYZ next week. June 13-17 !! Save them datez and grab… https://t.co/S6ICJwpFdP",FALSE,15047,NA,2018-06-08 23:47:30,TRUE,NA,"1005234899161210880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",2006,FALSE,FALSE,NA,NA
"6","#Oceans8 in theaters TONIGHT!!! Ayyyyeee!!! <f0><U+009F><U+0092><U+008E> <f0><U+009F><U+008E><U+00B1> <f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE> @oceans8movie https://t.co/nx68dA8Gmj",FALSE,63517,NA,2018-06-08 03:24:12,FALSE,NA,"1004927042507304960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",7738,FALSE,FALSE,NA,NA
"7","#PROFILTR is back in stock WORLDWIDE!!! Thanks to my ladies for waiting while we restocked. Your support from the d… https://t.co/mgDE3fMohB",FALSE,13951,NA,2018-06-01 22:53:19,TRUE,NA,"1002684548117696512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",1821,FALSE,FALSE,NA,NA
"8",".@oceans8movie June 8. #9Ball https://t.co/9rsSo7qbHz",FALSE,24693,NA,2018-05-29 22:35:14,FALSE,NA,"1001592830337343488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",4643,FALSE,FALSE,NA,NA
"9",".@oceans8movie is in theaters next Friday! I’m watching for the first time in #NY! hashtag and rep your city https://t.co/qGH9Y8zAGx",FALSE,73798,NA,2018-05-29 22:34:15,FALSE,NA,"1001592582487425024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",9130,FALSE,FALSE,NA,NA
"10",".@oceans8movie June 8 <f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE><f0><U+009F><U+0092><U+0085><f0><U+009F><U+008F><U+00BE> https://t.co/hTZqt2W66r",FALSE,52241,NA,2018-05-27 21:04:01,FALSE,NA,"1000845102888181760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rihanna",8582,FALSE,FALSE,NA,NA
